Private school % Children (Age 6-14) enrolled in private schools,Not in school % Girls (Age 11-14) not enrolled in school,Not in school % Girls (Age 15-16) not enrolled in school,Std III: Learning levels % Children who can read Std II level text,Std III: Learning levels % Children who can do at least subtraction,Std V: Learning levels % Children who can read Std II level text,Std V: Learning levels % Children who can do division,Std VIII: Learning levels % Children who can read Std II level text,Std VIII: Learning levels % Children who can do division,Number of schools visited 2018,PTR  & CTR % Schools complying with: Pupil-teacher ratio 2018,PTR  & CTR % Schools complying with: Classroom-teacher ratio 2018,School facilities % Schools that have: Office/store/office cum store 2018,School facilities % Schools that have: Playground 2018,Boundary wall 2018,Kitchen shed for cooking mid-day meal 2018,Drinking water available 2018,Toilet available and useable 2018,Total enrollment of 60 or less 2018,Std ll children observed sitting with one or more classes 2018,Std lV children observed sitting with one or more classes 2018,Library books available 2018,Library books being used by the children on day of visit 2018,Computer available for children 2018,Computer available and children observed using them on day of visit 2018,Mid-day meal served in school on day of visit 2018,% Households which have a pucca house 2018,% Households which have motorized two wheeler 2018,% Households which have an electric connection 2018,"Of households with electric connection, % households with electricity avilable on day of visit 2018",% Households which have a toilet 2018,% Households which have a television 2018,% Households which have a mobile phone 2018,% Households which have other reading material* 2018,% Households with at least one member who completed Std XII** 2018,% Households with at least one member who knows how to operate a computer 2018,2018 % Mothers with: No school- ing,2018 % Mothers with: Std I-V,2018 % Mothers with: Std VI-X,2018 % Mothers with: Above Std X,2018 % Fathers with: No school- ing,2018 % Fathers with: Std I-V,2018 % Fathers with: Std VI-X,2018 % Fathers with: Above Std X,Nothing,Number_1to9,Number_11to99,Subtraction,Division,Govt,Pvt,Other,Out_of_School,Nothing-1,Letter,Word,Std1_Para,Std2_Para
52.2,1.6,6.2,39.4,49.7,71.6,53,85.1,62.4,554,76.1,72.8,80.1,72,92.6,99.1,82.7,89.5,38.2,58.5,53.8,88.1,44.9,21.5,3.8,93.4,77.4,77.7,99.4,97.3,94.9,94.6,96.7,5.7,56.4,44.6,21.3,14.1,42,22.6,15.4,8.8,47,28.7,0.025,0.074,0.257,0.227,0.416,0.48,0.5,0,0.02,0.053,0.104,0.102,0.093,0.648
35.8,7.4,20.1,20.4,17.3,49.1,23.3,78.3,41.6,837,67.2,79.3,94.3,70.3,84.6,92.8,72.8,84.9,17.7,72.9,60.3,81.8,34.1,38.6,11.6,95.1,68,53,88.3,92.1,67.6,54.2,92.1,5.3,35.2,20.9,64.5,15.2,16.1,4.2,28.1,14.4,39.8,17.7,0.11,0.212,0.274,0.165,0.238,0.594,0.342,0.003,0.06,0.143,0.156,0.099,0.125,0.477
30.7,0.9,5.1,29.4,41,41.7,12.5,79,44.6,108,99,81.2,73.7,87.9,35.9,95.3,74.5,82.4,53.3,23.8,20.4,52.3,31.8,33.6,9.4,78.5,46.2,8.1,98,90.7,97.4,81.4,93.4,27.1,43.6,43.7,19.3,25.3,43.3,12,13.5,28.3,43.5,14.8,0.013,0.061,0.314,0.332,0.281,0.717,0.265,0.001,0.017,0.018,0.062,0.166,0.217,0.537
32.1,0.2,1.4,10.2,26,40.7,25.4,73.2,50.2,750,59.9,81.2,50.9,72.5,75.6,96.2,80.2,90.2,39.6,64.1,60.7,83.8,52.4,57.9,29.3,98.7,85.1,67.5,98,96.5,71,93.2,91.2,4.6,43.1,30.6,14.2,13.6,51.3,20.9,14,13.9,51.4,20.8,0.038,0.098,0.313,0.255,0.297,0.68,0.312,0.002,0.006,0.065,0.102,0.174,0.203,0.457
13.9,0.4,1.2,25.6,34.8,45,19.2,68.3,30.7,115,82.2,70.3,84.2,83.5,31.6,98.3,45.6,53,28.7,53.5,27.4,41.2,29.8,4.4,0.9,96.5,15.5,29.4,95.2,86.5,88,68.6,89.2,4,29,16,14.7,20.8,56.7,7.9,11.9,19.5,53.5,15.1,0.027,0.167,0.362,0.254,0.191,0.858,0.124,0.006,0.011,0.045,0.128,0.167,0.196,0.464
49.7,7.4,22.2,28.1,26.6,52,29.6,73.7,44.4,1998,33.3,71.3,86.3,71.3,72.4,95.4,85.1,72.7,10.4,62.2,58.9,63.1,35.7,3.3,0.7,93.3,62.6,42.2,74.4,82.9,57.7,44.8,91.7,5.7,45.4,18.8,57.2,11.5,20.5,10.9,26.3,11.2,39.3,23.3,0.102,0.218,0.262,0.159,0.26,0.418,0.487,0.012,0.084,0.143,0.181,0.097,0.113,0.466
42.7,2.2,6.6,34.5,32.3,64.3,37.5,83.8,48.6,296,31.3,81.8,90.7,68.6,58.3,98,75.6,85.8,73.1,75.7,71.7,84.8,26.1,9.8,0.7,88.1,76.9,36.4,95.5,92.8,89,79.8,93.3,12.8,52.5,31.6,30.8,15.3,34.7,19.2,13.4,9.6,45.1,31.9,0.046,0.133,0.321,0.196,0.304,0.57,0.395,0.008,0.027,0.059,0.11,0.094,0.139,0.597
7.9,1.3,4.8,40,38.4,50.7,29.7,61.8,28.7,441,64.3,54.8,81.5,52.8,55.1,94,81.3,81.1,20.2,46.1,38.9,66.1,38.4,6.7,1.2,81.6,39.9,38.5,94.7,92,76.2,57,87.8,4.7,31.3,20.9,26.3,22.9,43.1,7.6,23.4,23.8,40,12.8,0.052,0.184,0.354,0.177,0.233,0.869,0.07,0.02,0.041,0.077,0.132,0.147,0.181,0.463
41.8,0.9,6.2,18,34.3,43.7,27.1,69,48.3,259,66.4,68.5,80.7,77,71.4,86.4,57.2,77,34.8,60.5,49,77.7,55.7,10.6,3.1,95.8,58.1,53.7,98.9,96.2,80.2,86.2,93.8,6.1,41.4,22.1,43.3,9.6,32.5,14.6,33.3,9.9,36.9,19.9,,,,,,,,,,,,,,
,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,,,,,,,,,,,,,,,,,,,
